Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2009T2;0,0655
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2009T1;-2,6741
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2008T4;-1,5508
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2008T3;-0,2115
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2008T2;0,0352
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2008T1;0,1871
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2007T4;0,6105
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2007T3;0,7497
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2007T2;0,8776
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2007T1;0,9090
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2006T4;0,9307
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2006T3;0,9440
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2006T2;0,9000
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2006T1;1,1632
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2005T4;0,9873
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2005T3;0,9575
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2005T2;0,8876
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2005T1;0,8935
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2004T4;0,7097
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2004T3;0,8433
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2004T2;1,0620
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2004T1;0,5850
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2003T4;0,8385
