model,geo,mae,rmse,n_features
panel_combined_base,ES,0.36262995682412313,0.46166532007632716,2
panel_combined_base,FR,0.3155946254285418,0.4260536974366735,2
panel_combined_base,IT,0.6308962224228709,1.038955042830085,2
panel_combined_ext,ES,0.29732818097425073,0.33097973765611716,6
panel_combined_ext,FR,0.21468074448509555,0.2560606096918304,6
panel_combined_ext,IT,0.37644292620552283,0.4655979888155901,6
