model,geo,mae,rmse,n_features
panel_geo_base,ES,0.4231855937893447,0.46612901081844993,5
panel_geo_base,FR,0.8194185944408019,1.021211245636662,5
panel_geo_base,IT,4.3238457538051325,6.518271852128953,5
panel_geo_ext,ES,0.2903091566319522,0.3307225672891224,9
panel_geo_ext,FR,0.2242462597223347,0.26964537086111295,9
panel_geo_ext,IT,0.3654046552375236,0.4509266607069036,9
